theta,eta,kappa
0.01133147641011615,0.01193750725473027,0.0012252051704249856
0.01133303636033223,0.011939218916246788,0.0012268991932440692
0.011334598420256749,0.011940932909560964,0.0012285955582939736
0.011336162592679035,0.011942649237801549,0.0012302942688131701
0.011337728880391938,0.01194436790410136,0.0012319953280446085
0.011339297286191843,0.011946088911597296,0.001233698739235722
0.011340867812878633,0.011947812263430321,0.0012354045056384342
0.011342440463255738,0.011949537962745487,0.0012371126305091645
0.011344015240130107,0.011951266012691933,0.0012388231171088365
0.011345592146312228,0.011952996416422881,0.0012405359687028784
0.011347171184616124,0.011954729177095657,0.0012422511885612371
0.011348752357859366,0.011956464297871689,0.0012439687799583798
0.01135033566886307,0.011958201781916505,0.0012456887461733007
0.011351921120451898,0.011959941632399749,0.0012474110904895277
0.011353508715454071,0.011961683852495181,0.0012491358161951288
0.01135509845670137,0.011963428445380677,0.0012508629265827183
0.011356690347029139,0.011965175414238248,0.001252592424949464
0.011358284389276283,0.01196692476225403,0.001254324314597089
0.011359880586285277,0.01196867649261829,0.0012560585988318856
0.011361478940902179,0.011970430608525444,0.0012577952809647152
0.011363079455976621,0.011972187113174057,0.0012595343643110179
0.011364682134361816,0.011973946009766834,0.0012612758521908175
0.011366286978914564,0.011975707301510645,0.0012630197479287285
0.011367893992495257,0.011977470991616515,0.0012647660548539615
0.011369503177967885,0.011979237083299643,0.0012665147763003324
0.01137111453820003,0.011981005579779389,0.0012682659156062622
0.011372728076062879,0.011982776484279294,0.0012700194761147915
0.011374343794431228,0.011984549800027083,0.0012717754611735821
0.01137596169618348,0.011986325530254664,0.0012735338741349243
0.01137758178420166,0.011988103678198135,0.0012752947183557435
0.011379204061371405,0.011989884247097793,0.0012770579971976065
0.01138082853058197,0.011991667240198131,0.001278823714026728
0.011382455194726256,0.011993452660747863,0.0012805918722139783
0.011384084056700773,0.011995240511999891,0.0012823624751348843
0.011385715119405677,0.011997030797211353,0.0012841355261696441
0.011387348385744766,0.011998823519643603,0.0012859110287031285
0.011388983858625475,0.012000618682562218,0.0012876889861248874
0.011390621540958885,0.01200241628923701,0.0012894694018291582
0.011392261435659735,0.012004216342942025,0.0012912522792148707
0.011393903545646417,0.01200601884695556,0.0012930376216856547
0.011395547873840976,0.012007823804560143,0.0012948254326498457
0.011397194423169131,0.01200963121904257,0.001296615715520493
0.011398843196560258,0.012011441093693882,0.0012984084737153612
0.011400494196947414,0.01201325343180939,0.0013002037106569443
0.011402147427267324,0.012015068236688672,0.0013020014297724669
0.011403802890460397,0.012016885511635574,0.0013038016344938926
0.011405460589470728,0.012018705259958224,0.0013056043282579299
0.011407120527246094,0.012020527484969028,0.001307409514506039
0.011408782706737968,0.012022352189984688,0.0013092171966844388
0.01141044713090152,0.012024179378326191,0.001311027378244114
0.011412113802695613,0.012026009053318827,0.0013128400626408168
0.011413782725082824,0.012027841218292184,0.0013146552533350817
0.011415453901029434,0.012029675876580166,0.0013164729537922268
0.011417127333505438,0.012031513031520986,0.0013182931674823608
0.011418803025484547,0.01203335268645718,0.0013201158978803909
0.011420480979944189,0.012035194844735602,0.0013219411484660286
0.01142216119986552,0.012037039509707435,0.0013237689227237968
0.011423843688233428,0.012038886684728205,0.001325599224143036
0.011425528448036532,0.012040736373157774,0.0013274320562179126
0.01142721548226719,0.012042588578360342,0.0013292674224474204
0.011428904793921495,0.012044443303704466,0.001331105326335395
0.011430596385999288,0.012046300552563057,0.001332945771390515
0.011432290261504165,0.012048160328313384,0.0013347887611263104
0.011433986423443473,0.012050022634337083,0.0013366342990611692
0.011435684874828319,0.012051887474020168,0.001338482388718344
0.011437385618673558,0.012053754850753011,0.001340333033625959
0.011439088657997837,0.012055624767930385,0.0013421862373170178
0.011440793995823548,0.01205749722895144,0.0013440420033294044
0.011442501635176875,0.012059372237219715,0.0013459003352058992
0.011444211579087772,0.012061249796143153,0.0013477612364941793
0.011445923830589982,0.012063129909134097,0.0013496247107468269
0.011447638392721027,0.012065012579609291,0.0013514907615213363
0.011449355268522227,0.012066897810989904,0.0013533593923801203
0.011451074461038694,0.012068785606701512,0.001355230606890518
0.011452795973319342,0.012070675970174123,0.001357104408624801
0.011454519808416887,0.012072568904842167,0.001358980801160177
0.011456245969387855,0.012074464414144505,0.0013608597880788035
0.011457974459292575,0.012076362501524449,0.0013627413729677892
0.011459705281195214,0.012078263170429747,0.001364625559419203
0.011461438438163734,0.012080166424312599,0.00136651235103008
0.011463173933269934,0.012082072266629657,0.001368401751402429
0.011464911769589445,0.012083980700842037,0.0013702937641432386
0.01146665195020173,0.01208589173041532,0.0013721883928644863
0.011468394478190074,0.012087805358819556,0.0013740856411831397
0.011470139356641628,0.012089721589529272,0.0013759855127211714
0.01147188658864737,0.012091640426023478,0.0013778880111055601
0.011473636177302139,0.01209356187178567,0.0013797931399683
0.011475388125704618,0.012095485930303839,0.0013817009029464065
0.011477142436957357,0.012097412605070463,0.001383611303681924
0.011478899114166767,0.01209934189958254,0.0013855243458219327
0.01148065816044312,0.01210127381734156,0.0013874400330185547
0.011482419578900569,0.01210320836185354,0.001389358368928964
0.011484183372657135,0.012105145536629006,0.0013912793572153867
0.011485949544834714,0.012107085345183009,0.0013932030015451158
0.011487718098559096,0.012109027791035138,0.0013951293055905149
0.011489489036959953,0.012110972877709507,0.001397058273029024
0.011491262363170851,0.01211292060873478,0.001398989907543168
0.011493038080329256,0.01211487098764416,0.0014009242128205641
0.01149481619157653,0.012116824017975404,0.0014028611925539273
0.011496596700057933,0.012118779703270825,0.00140480085044108
0.01149837960892265,0.012120738047077298,0.0014067431901849533
0.01150016492132377,0.012122699052946264,0.001408688215493602
0.011501952640418296,0.01212466272443374,0.001410635930080207
0.011503742769367161,0.012126629065100319,0.0014125863376630826
0.011505535311335224,0.012128598078511181,0.0014145394419656846
0.01150733026949127,0.01213056976823609,0.0014164952467166166
0.011509127647008014,0.012132544137849406,0.0014184537556496382
0.011510927447062124,0.012134521190930092,0.001420414972503671
0.011512729672834203,0.012136500931061717,0.0014223789010228075
0.011514534327508798,0.012138483361832453,0.001424345544956313
0.011516341414274415,0.012140468486835098,0.0014263149080586408
0.011518150936323508,0.012142456309667064,0.001428286994089434
0.011519962896852502,0.012144446833930397,0.0014302618068135337
0.011521777299061783,0.012146440063231772,0.0014322393500009866
0.0115235941461557,0.0121484360011825,0.0014342196274270522
0.011525413441342575,0.012150434651398541,0.001436202642872211
0.011527235187834727,0.012152436017500504,0.001438188400122166
0.011529059388848425,0.012154440103113643,0.0014401769029678594
0.011530886047603947,0.012156446911867883,0.0014421681552054734
0.011532715167325564,0.012158456447397815,0.0014441621606364385
0.011534546751241522,0.01216046871334269,0.0014461589230674416
0.011536380802584081,0.012162483713346444,0.0014481584463104328
0.011538217324589508,0.0121645014510577,0.001450160734182633
0.011540056320498062,0.012166521930129756,0.0014521657905065403
0.011541897793554025,0.012168545154220611,0.00145417361910994
0.011543741747005697,0.012170571126992963,0.0014561842238259056
0.011545588184105386,0.012172599852114208,0.0014581976084928141
0.011547437108109444,0.012174631333256462,0.0014602137769543489
0.01154928852227824,0.012176665574096548,0.0014622327330595074
0.011551142429876178,0.012178702578316013,0.0014642544806626086
0.011552998834171704,0.01218074234960113,0.001466279023623301
0.011554857738437294,0.012182784891642902,0.00146830636580657
0.011556719145949497,0.012184830208137078,0.0014703365110827454
0.011558583059988884,0.012186878302784135,0.0014723694633275047
0.011560449483840092,0.012188929179289308,0.0014744052264218882
0.011562318420791832,0.012190982841362592,0.0014764438042523004
0.011564189874136857,0.012193039292718732,0.0014784852007105203
0.011566063847172004,0.012195098537077242,0.001480529419693707
0.011567940343198179,0.012197160578162407,0.0014825764651044083
0.011569819365520354,0.012199225419703285,0.0014846263408505678
0.011571700917447601,0.012201293065433725,0.0014866790508455323
0.01157358500229307,0.012203363519092358,0.0014887345990080613
0.011575471623373993,0.012205436784422603,0.0014907929892623271
0.011577360784011713,0.01220751286517269,0.0014928542255379337
0.01157925248753166,0.012209591765095647,0.001494918311769915
0.011581146737287556,0.01221167348797589,0.0014969852518987475
0.011583043560741713,0.012213758064093218,0.0014990550498703548
0.01158494298254892,0.012215845520643531,0.0015011277096361165
0.011586845006165391,0.012217935861526582,0.0015032032351528757
0.011588749635051744,0.012220029090647283,0.0015052816303829481
0.011590656872672812,0.012222125211915496,0.001507362899294123
0.011592566722498003,0.012224224229246424,0.0015094470458596806
0.011594479188000911,0.01222632614656019,0.0015115340740583926
0.01159639427265982,0.012228430967782387,0.0015136239878745328
0.0115983119799573,0.012230538696843637,0.0015157167912978832
0.01160023231338017,0.012232649337679558,0.0015178124883237424
0.011602155276419777,0.012234762894231054,0.0015199110829529332
0.011604080872572082,0.012236879370444428,0.00152201257919181
0.011606009105337172,0.012238998770270843,0.0015241169810522681
0.011607939978219772,0.012241121097666879,0.0015262242925517455
0.011609873494728907,0.01224324635659416,0.0015283345177132387
0.011611809658378103,0.012245374551019596,0.0015304476605653061
0.011613748472685466,0.012247505684915441,0.0015325637251420755
0.011615689941173254,0.012249639762258851,0.0015346827154832524
0.011617634067368515,0.012251776787032568,0.0015368046356341284
0.01161958085480248,0.012253916763224263,0.001538929489645589
0.011621530307011064,0.012256059694827083,0.0015410572815741164
0.011623482427534417,0.012258205585839154,0.0015431880154818064
0.011625437219917498,0.012260354440264229,0.0015453216954363694
0.011627394687709477,0.012262506262111015,0.00154745832551114
0.011629354834464095,0.012264661055393582,0.0015495979097850847
0.011631317663739593,0.012266818824131269,0.0015517404523428097
0.011633283179098763,0.012268979572348765,0.0015538859572745694
0.011635251384108737,0.012271143304075851,0.0015560344286762724
0.011637222282341292,0.012273310023347764,0.0015581858706494932
0.011639195877372787,0.012275479734205098,0.001560340287301472
0.011641172172783982,0.01227765244069364,0.0015624976827451327
0.011643151172160087,0.012279828146864399,0.0015646580610990844
0.01164513287909101,0.012282006856773883,0.0015668214264876303
0.011647117297171165,0.012284188574483905,0.0015689877830407772
0.011649104429999344,0.01228637330406142,0.0015711571348942406
0.011651094281179124,0.012288561049578999,0.001573329486189456
0.011653086854318468,0.012290751815114367,0.001575504841073585
0.011655082153029968,0.012292945604750685,0.0015776832036995196
0.011657080180930745,0.012295142422576434,0.0015798645782258978
0.011659080941642393,0.012297342272685368,0.0015820489688171068
0.011661084438791294,0.012299545159176842,0.0015842363796432905
0.011663090676008257,0.012301751086155435,0.0015864268148803597
0.011665099656928692,0.012303960057731121,0.0015886202787099987
0.011667111385192608,0.012306172078019286,0.001590816775319673
0.011669125864444593,0.012308387151140698,0.0015930163089026385
0.011671143098333812,0.012310605281221515,0.0015952188836579502
0.011673163090514107,0.012312826472393384,0.0015974245037904645
0.011675185844643889,0.012315050728793327,0.001599633173510856
0.011677211364386184,0.012317278054563795,0.0016018448970356192
0.01167923965340867,0.012319508453852712,0.0016040596785870797
0.011681270715383435,0.012321741930813201,0.0016062775223934
0.011683304553987518,0.01232397848960419,0.001608498432688589
0.011685341172902387,0.012326218134389832,0.0016107224137125098
0.011687380575814208,0.012328460869339803,0.0016129494697108893
0.011689422766413824,0.012330706698629292,0.00161517960493532
0.011691467748396646,0.012332955626438848,0.0016174128236432772
0.011693515525462774,0.012335207656954558,0.0016196491300981219
0.011695566101316973,0.012337462794367997,0.001621888528569109
0.011697619479668664,0.012339721042876216,0.0016241310233313972
0.011699675664232124,0.012341982406681972,0.0016263766186660551
0.011701734658725867,0.012344246889993053,0.0016286253188600715
0.011703796466873516,0.012346514497023222,0.001630877128206362
0.01170586109240326,0.012348785231991634,0.0016331320510037798
0.01170792853904774,0.012351059099122708,0.0016353900915571165
0.011709998810544697,0.012353336102646838,0.001637651254177121
