F,Tcmp,kappa
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012354045056384342
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012371126305091645
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012388231171088365
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012405359687028784
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012422511885612371
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012439687799583798
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012456887461733007
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012474110904895277
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012491358161951288
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012508629265827183
[0.3 0.3 0.3 0.3 0.3],0.63,0.001252592424949464
[0.3 0.3 0.3 0.3 0.3],0.63,0.001254324314597089
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012560585988318856
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012577952809647152
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012595343643110179
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012612758521908175
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012630197479287285
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012647660548539615
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012665147763003324
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012682659156062622
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012700194761147915
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012717754611735821
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012735338741349243
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012752947183557435
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012770579971976065
[0.3 0.3 0.3 0.3 0.3],0.63,0.001278823714026728
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012805918722139783
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012823624751348843
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012841355261696441
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012859110287031285
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012876889861248874
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012894694018291582
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012912522792148707
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012930376216856547
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012948254326498457
[0.3 0.3 0.3 0.3 0.3],0.63,0.001296615715520493
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012984084737153612
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013002037106569443
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013020014297724669
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013038016344938926
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013056043282579299
[0.3 0.3 0.3 0.3 0.3],0.63,0.001307409514506039
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013092171966844388
[0.3 0.3 0.3 0.3 0.3],0.63,0.001311027378244114
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013128400626408168
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013146552533350817
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013164729537922268
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013182931674823608
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013201158978803909
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013219411484660286
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013237689227237968
[0.3 0.3 0.3 0.3 0.3],0.63,0.001325599224143036
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013274320562179126
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013292674224474204
[0.3 0.3 0.3 0.3 0.3],0.63,0.001331105326335395
[0.3 0.3 0.3 0.3 0.3],0.63,0.001332945771390515
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013347887611263104
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013366342990611692
[0.3 0.3 0.3 0.3 0.3],0.63,0.001338482388718344
[0.3 0.3 0.3 0.3 0.3],0.63,0.001340333033625959
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013421862373170178
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013440420033294044
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013459003352058992
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013477612364941793
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013496247107468269
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013514907615213363
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013533593923801203
[0.3 0.3 0.3 0.3 0.3],0.63,0.001355230606890518
[0.3 0.3 0.3 0.3 0.3],0.63,0.001357104408624801
[0.3 0.3 0.3 0.3 0.3],0.63,0.001358980801160177
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013608597880788035
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013627413729677892
[0.3 0.3 0.3 0.3 0.3],0.63,0.001364625559419203
[0.3 0.3 0.3 0.3 0.3],0.63,0.00136651235103008
[0.3 0.3 0.3 0.3 0.3],0.63,0.001368401751402429
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013702937641432386
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013721883928644863
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013740856411831397
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013759855127211714
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013778880111055601
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013797931399683
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013817009029464065
[0.3 0.3 0.3 0.3 0.3],0.63,0.001383611303681924
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013855243458219327
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013874400330185547
[0.3 0.3 0.3 0.3 0.3],0.63,0.001389358368928964
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013912793572153867
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013932030015451158
[0.3 0.3 0.3 0.3 0.3],0.63,0.0013951293055905149
[0.3 0.3 0.3 0.3 0.3],0.63,0.001397058273029024
[0.3 0.3 0.3 0.3 0.3],0.63,0.001398989907543168
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014009242128205641
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014028611925539273
[0.3 0.3 0.3 0.3 0.3],0.63,0.00140480085044108
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014067431901849533
[0.3 0.3 0.3 0.3 0.3],0.63,0.001408688215493602
[0.3 0.3 0.3 0.3 0.3],0.63,0.001410635930080207
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014125863376630826
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014145394419656846
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014164952467166166
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014184537556496382
[0.3 0.3 0.3 0.3 0.3],0.63,0.001420414972503671
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014223789010228075
[0.3 0.3 0.3 0.3 0.3],0.63,0.001424345544956313
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014263149080586408
[0.3 0.3 0.3 0.3 0.3],0.63,0.001428286994089434
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014302618068135337
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014322393500009866
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014342196274270522
[0.3 0.3 0.3 0.3 0.3],0.63,0.001436202642872211
[0.3 0.3 0.3 0.3 0.3],0.63,0.001438188400122166
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014401769029678594
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014421681552054734
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014441621606364385
[0.3 0.3 0.3 0.3 0.3],0.63,0.0014461589230674416
